id,father_height,mother_height,boy_dummy,child_height
141,1.79,1.61,0,1.66
142,1.79,1.71,1,1.78
143,1.78,1.58,0,1.63
144,1.83,1.59,0,1.67
145,1.74,1.65,1,1.77
146,1.72,1.65,1,1.74
147,1.65,1.64,1,1.72
148,1.67,1.58,1,1.71
149,1.79,1.65,1,1.79
150,1.73,1.67,1,1.77
151,1.79,1.7,1,1.78
152,1.78,1.69,0,1.7
153,1.73,1.68,1,1.76
154,1.73,1.61,0,1.65
155,1.85,1.64,1,1.78
156,1.76,1.57,0,1.63
157,1.75,1.59,1,1.75
158,1.8,1.59,1,1.76
159,1.76,1.65,0,1.67
160,1.79,1.65,1,1.78
161,1.71,1.63,1,1.74
162,1.78,1.67,1,1.78
163,1.71,1.59,1,1.75
164,1.74,1.65,0,1.65
165,1.76,1.6,1,1.76
166,1.73,1.66,0,1.66
167,1.73,1.65,1,1.76
168,1.75,1.53,1,1.73
169,1.8,1.73,0,1.71
170,1.75,1.67,0,1.66
171,1.67,1.57,1,1.71
172,1.78,1.59,0,1.65
173,1.7,1.69,0,1.66
174,1.76,1.58,0,1.64
175,1.68,1.68,0,1.65
176,1.72,1.59,1,1.73
177,1.72,1.69,0,1.66
178,1.65,1.6,1,1.71
179,1.75,1.69,1,1.77
180,1.76,1.6,1,1.77
181,1.66,1.6,1,1.72
182,1.71,1.64,0,1.66
183,1.73,1.67,1,1.74
184,1.7,1.64,0,1.64
185,1.78,1.61,1,1.75
186,1.65,1.59,1,1.7
187,1.75,1.59,0,1.64
188,1.75,1.59,1,1.75
189,1.69,1.69,1,1.74
190,1.73,1.63,1,1.75
191,1.76,1.66,1,1.74
192,1.75,1.6,0,1.63
193,1.76,1.62,1,1.75
194,1.77,1.62,0,1.66
195,1.7,1.65,1,1.73
196,1.72,1.62,0,1.65
197,1.67,1.64,1,1.74
198,1.8,1.63,1,1.78
199,1.78,1.65,0,1.66
200,1.67,1.58,1,1.71
201,1.66,1.6,1,1.73
202,1.74,1.63,0,1.66
203,1.77,1.68,0,1.67
204,1.71,1.68,0,1.65
205,1.75,1.67,1,1.77
206,1.8,1.67,0,1.67
207,1.76,1.65,1,1.77
208,1.66,1.59,0,1.62
209,1.84,1.58,1,1.77
210,1.69,1.64,0,1.63
211,1.74,1.55,0,1.62
212,1.85,1.68,1,1.82
213,1.74,1.59,0,1.63
214,1.73,1.55,0,1.61
215,1.75,1.63,0,1.67
216,1.71,1.66,1,1.74
217,1.81,1.63,0,1.68
218,1.75,1.74,1,1.76
219,1.7,1.54,0,1.62
220,1.73,1.64,0,1.65
221,1.71,1.66,0,1.65
222,1.82,1.62,0,1.66
223,1.73,1.65,1,1.75
224,1.64,1.65,0,1.64
225,1.79,1.61,1,1.77
226,1.69,1.62,1,1.75
227,1.6,1.53,0,1.59
228,1.67,1.71,0,1.66
229,1.69,1.65,1,1.74
230,1.78,1.67,1,1.77
231,1.68,1.68,0,1.65
232,1.76,1.64,1,1.76
233,1.8,1.54,0,1.64
234,1.73,1.64,1,1.77
235,1.73,1.68,0,1.66
236,1.81,1.7,0,1.69
237,1.75,1.57,0,1.61
238,1.64,1.57,0,1.61
239,1.72,1.7,1,1.77
240,1.78,1.53,1,1.73
241,1.79,1.61,0,1.66
242,1.74,1.7,0,1.66
243,1.78,1.58,0,1.65
244,1.75,1.57,1,1.73
245,1.71,1.56,1,1.73
246,1.75,1.6,1,1.77
247,1.76,1.66,0,1.66
248,1.79,1.68,0,1.66
249,1.79,1.59,0,1.64
250,1.71,1.63,0,1.66
251,1.65,1.58,0,1.63
252,1.73,1.7,1,1.76
253,1.74,1.61,0,1.65
254,1.8,1.54,0,1.63
255,1.68,1.6,0,1.64
256,1.82,1.6,1,1.78
257,1.74,1.61,1,1.75
258,1.8,1.63,1,1.78
259,1.75,1.59,1,1.75
260,1.77,1.65,1,1.76
261,1.7,1.61,1,1.72
262,1.68,1.67,1,1.75
263,1.68,1.56,0,1.63
264,1.73,1.57,0,1.64
265,1.68,1.6,1,1.73
266,1.76,1.71,0,1.67
267,1.74,1.61,1,1.74
268,1.82,1.59,0,1.66
269,1.8,1.62,1,1.75
270,1.75,1.61,1,1.75
271,1.69,1.58,1,1.73
272,1.93,1.69,1,1.82
273,1.72,1.59,0,1.63
274,1.74,1.59,1,1.74
275,1.74,1.65,1,1.75
276,1.68,1.61,1,1.74
277,1.67,1.65,1,1.73
278,1.71,1.58,1,1.72
279,1.74,1.61,0,1.66
280,1.76,1.7,1,1.79
281,1.74,1.63,1,1.75
282,1.75,1.56,1,1.73
283,1.65,1.54,0,1.62
284,1.72,1.64,1,1.76
285,1.7,1.67,0,1.65
286,1.75,1.65,0,1.66
287,1.72,1.64,0,1.65
288,1.68,1.6,0,1.66
289,1.68,1.73,0,1.68
290,1.72,1.6,1,1.73
291,1.74,1.63,1,1.74
292,1.72,1.71,0,1.69
293,1.7,1.68,1,1.75
294,1.7,1.67,1,1.72
295,1.71,1.53,0,1.62
296,1.75,1.65,1,1.75
297,1.74,1.57,0,1.61
298,1.76,1.56,1,1.74
299,1.77,1.67,1,1.77
300,1.78,1.66,0,1.68
301,1.7,1.54,0,1.62
302,1.76,1.61,1,1.74
303,1.71,1.69,1,1.75
304,1.7,1.6,0,1.63
305,1.71,1.68,0,1.65
306,1.7,1.52,0,1.61
307,1.78,1.53,1,1.74
308,1.78,1.63,1,1.73
309,1.71,1.63,0,1.66
310,1.78,1.53,0,1.63
311,1.7,1.59,1,1.72
312,1.7,1.66,0,1.66
313,1.7,1.68,0,1.65
314,1.76,1.66,0,1.66
315,1.77,1.63,0,1.66
316,1.65,1.58,1,1.71
317,1.68,1.64,1,1.74
318,1.75,1.66,1,1.76
319,1.69,1.6,0,1.63
320,1.76,1.62,0,1.63
321,1.71,1.65,0,1.66
322,1.76,1.66,0,1.66
323,1.74,1.61,0,1.64
324,1.72,1.62,1,1.73
325,1.7,1.61,0,1.65
326,1.7,1.62,1,1.75
327,1.69,1.61,0,1.62
328,1.79,1.64,0,1.66
329,1.71,1.67,1,1.74
330,1.69,1.68,1,1.75
331,1.66,1.64,0,1.63
332,1.79,1.63,0,1.65
333,1.77,1.62,1,1.77
334,1.72,1.61,1,1.73
335,1.68,1.6,1,1.71
336,1.83,1.6,1,1.78
337,1.7,1.59,0,1.63
338,1.73,1.65,1,1.76
339,1.75,1.69,0,1.67
340,1.74,1.67,1,1.77
341,1.77,1.71,1,1.78
342,1.67,1.54,0,1.63
343,1.7,1.63,1,1.74
344,1.72,1.57,1,1.73
345,1.65,1.59,0,1.62
346,1.77,1.67,1,1.77
347,1.76,1.61,1,1.76
348,1.73,1.68,0,1.67
349,1.77,1.59,1,1.76
350,1.77,1.71,0,1.69
351,1.81,1.59,0,1.67
352,1.83,1.68,0,1.7
353,1.78,1.66,0,1.67
354,1.65,1.54,0,1.6
355,1.8,1.56,0,1.63
356,1.7,1.63,0,1.64
357,1.71,1.63,0,1.63
358,1.8,1.54,0,1.63
359,1.72,1.62,0,1.64
360,1.76,1.62,0,1.63
361,1.71,1.64,1,1.73
362,1.69,1.61,0,1.64
363,1.74,1.54,1,1.75
364,1.76,1.62,0,1.65
365,1.75,1.66,1,1.77
366,1.7,1.66,0,1.65
367,1.7,1.62,0,1.65
368,1.82,1.59,0,1.65
369,1.79,1.65,0,1.68
370,1.68,1.66,0,1.63
371,1.71,1.64,1,1.74
372,1.76,1.6,0,1.64
373,1.71,1.58,0,1.64
374,1.86,1.56,1,1.78
375,1.75,1.64,1,1.75
376,1.71,1.66,0,1.67
377,1.78,1.63,1,1.77
378,1.73,1.56,1,1.72
379,1.74,1.64,1,1.75
380,1.75,1.64,0,1.66
381,1.75,1.65,0,1.65
382,1.81,1.66,0,1.69
383,1.73,1.64,1,1.73
384,1.7,1.59,1,1.74
385,1.65,1.55,0,1.61
386,1.7,1.6,0,1.64
387,1.72,1.61,0,1.66
388,1.77,1.67,0,1.67
389,1.79,1.68,0,1.69
390,1.85,1.61,0,1.67
391,1.69,1.63,0,1.63
392,1.73,1.64,0,1.67
393,1.73,1.59,0,1.63
394,1.74,1.66,1,1.77
395,1.62,1.58,0,1.62
396,1.79,1.62,1,1.77
397,1.75,1.57,0,1.64
398,1.72,1.63,0,1.66
399,1.63,1.66,1,1.72
400,1.74,1.63,0,1.64
401,1.77,1.65,0,1.65
402,1.75,1.69,1,1.76
403,1.75,1.69,1,1.78
404,1.81,1.58,0,1.66
405,1.73,1.61,1,1.75
406,1.71,1.62,1,1.74
407,1.75,1.58,0,1.65
408,1.7,1.61,0,1.64
409,1.68,1.61,0,1.64
410,1.69,1.58,1,1.75
411,1.73,1.55,0,1.63
412,1.72,1.62,0,1.64
413,1.75,1.58,0,1.64
414,1.77,1.66,1,1.76
415,1.74,1.64,1,1.74
416,1.66,1.65,1,1.73
417,1.81,1.51,0,1.64
418,1.64,1.6,0,1.62
419,1.65,1.57,1,1.71
420,1.69,1.65,1,1.74
421,1.83,1.56,1,1.77
422,1.78,1.64,1,1.78
423,1.69,1.57,1,1.72
424,1.77,1.63,1,1.76
425,1.71,1.73,1,1.76
426,1.71,1.68,1,1.75
427,1.7,1.57,0,1.62
428,1.73,1.61,1,1.74
429,1.79,1.66,0,1.68
430,1.76,1.68,0,1.68
431,1.73,1.67,0,1.66
432,1.8,1.61,0,1.66
433,1.73,1.61,1,1.72
434,1.72,1.65,0,1.65
435,1.72,1.62,0,1.64
436,1.71,1.62,1,1.73
437,1.73,1.7,1,1.77
438,1.76,1.75,0,1.7
439,1.7,1.65,0,1.63
440,1.74,1.68,1,1.77
441,1.75,1.59,0,1.65
442,1.71,1.71,1,1.76
443,1.76,1.56,1,1.75
444,1.66,1.62,1,1.73
445,1.75,1.7,1,1.77
446,1.7,1.63,0,1.64
447,1.8,1.67,1,1.77
448,1.67,1.55,1,1.71
449,1.73,1.59,0,1.65
450,1.74,1.68,1,1.77
451,1.7,1.69,1,1.76
452,1.79,1.6,1,1.74
453,1.77,1.71,1,1.77
454,1.7,1.56,1,1.72
455,1.66,1.6,1,1.72
456,1.71,1.56,0,1.62
457,1.71,1.67,0,1.65
458,1.77,1.63,0,1.66
459,1.75,1.68,1,1.75
460,1.67,1.6,1,1.75
461,1.71,1.64,0,1.63
462,1.71,1.61,1,1.73
463,1.83,1.62,0,1.67
464,1.84,1.59,1,1.77
465,1.75,1.59,1,1.75
466,1.73,1.63,0,1.66
467,1.71,1.63,1,1.72
468,1.73,1.67,1,1.78
469,1.74,1.67,0,1.68
470,1.8,1.59,1,1.77
471,1.73,1.64,1,1.77
472,1.67,1.68,0,1.67
473,1.64,1.7,0,1.67
474,1.79,1.69,1,1.78
475,1.73,1.59,0,1.64
476,1.74,1.62,0,1.66
477,1.87,1.69,1,1.8
478,1.74,1.61,0,1.63
479,1.71,1.64,1,1.76
480,1.71,1.58,0,1.63
481,1.73,1.57,1,1.74
482,1.76,1.67,1,1.76
483,1.73,1.68,0,1.68
484,1.68,1.59,0,1.64
485,1.73,1.62,1,1.76
486,1.79,1.6,1,1.78
487,1.78,1.63,0,1.63
488,1.74,1.67,0,1.68
489,1.77,1.69,0,1.67
490,1.73,1.66,1,1.77
491,1.76,1.69,0,1.66
492,1.76,1.62,1,1.77
493,1.66,1.6,0,1.63
494,1.72,1.65,1,1.77
495,1.75,1.67,0,1.68
496,1.74,1.62,1,1.75
497,1.62,1.61,0,1.63
498,1.72,1.67,0,1.67
499,1.73,1.63,1,1.74
500,1.76,1.64,1,1.75
501,1.77,1.61,1,1.76
502,1.75,1.65,1,1.76
503,1.71,1.61,1,1.72
504,1.79,1.61,0,1.66
505,1.66,1.66,0,1.64
506,1.78,1.7,0,1.68
507,1.69,1.67,1,1.76
508,1.71,1.65,1,1.75
509,1.75,1.63,0,1.65
510,1.75,1.63,0,1.66
511,1.74,1.58,1,1.74
512,1.77,1.64,1,1.76
513,1.77,1.6,0,1.63
514,1.88,1.71,1,1.81
515,1.71,1.62,1,1.73
516,1.69,1.62,1,1.74
517,1.72,1.71,1,1.76
518,1.71,1.61,0,1.64
519,1.75,1.62,0,1.67
520,1.72,1.65,0,1.64
521,1.77,1.65,1,1.77
522,1.69,1.61,0,1.63
523,1.66,1.63,0,1.64
524,1.77,1.58,1,1.74
525,1.71,1.69,0,1.66
526,1.69,1.64,1,1.73
527,1.71,1.64,0,1.66
528,1.71,1.64,0,1.63
529,1.68,1.64,1,1.73
530,1.73,1.65,1,1.74
531,1.69,1.64,0,1.65
532,1.66,1.61,0,1.63
533,1.75,1.66,1,1.77
534,1.79,1.62,1,1.76
535,1.7,1.58,0,1.61
536,1.72,1.61,0,1.65
537,1.7,1.58,1,1.74
538,1.69,1.57,0,1.62
539,1.71,1.63,0,1.64
540,1.7,1.59,0,1.62
541,1.73,1.63,1,1.75
542,1.76,1.6,1,1.74
543,1.62,1.59,1,1.71
544,1.68,1.68,0,1.63
545,1.74,1.56,0,1.64
546,1.75,1.53,0,1.61
547,1.75,1.59,0,1.64
548,1.75,1.71,1,1.77
549,1.71,1.67,0,1.65
550,1.78,1.64,1,1.76
551,1.77,1.64,1,1.76
552,1.78,1.6,0,1.66
553,1.76,1.63,0,1.66
554,1.79,1.64,1,1.77
555,1.69,1.63,1,1.75
556,1.8,1.67,0,1.67
557,1.68,1.6,1,1.72
558,1.69,1.63,1,1.75
559,1.77,1.61,1,1.76
560,1.77,1.73,0,1.7
561,1.74,1.62,1,1.74
562,1.74,1.59,1,1.76
563,1.69,1.55,0,1.62
564,1.72,1.67,0,1.66
565,1.77,1.64,1,1.75
566,1.67,1.59,1,1.72
567,1.7,1.64,1,1.75
568,1.68,1.54,0,1.61
569,1.76,1.59,1,1.76
570,1.82,1.69,1,1.78
571,1.67,1.63,0,1.63
572,1.7,1.66,0,1.64
573,1.77,1.65,0,1.67
574,1.72,1.64,0,1.65
575,1.73,1.56,1,1.74
576,1.79,1.67,0,1.67
577,1.71,1.64,0,1.66
578,1.75,1.56,1,1.74
579,1.79,1.54,0,1.63
580,1.74,1.59,0,1.65
581,1.72,1.61,0,1.64
582,1.8,1.62,0,1.67
583,1.67,1.54,0,1.62
584,1.7,1.62,0,1.63
585,1.76,1.65,0,1.66
586,1.76,1.68,0,1.67
587,1.77,1.6,1,1.75
588,1.71,1.65,1,1.75
589,1.77,1.68,0,1.68
590,1.74,1.66,0,1.68
591,1.71,1.7,0,1.68
592,1.76,1.66,0,1.65
593,1.68,1.63,0,1.64
594,1.72,1.6,0,1.66
595,1.71,1.68,0,1.66
596,1.75,1.6,1,1.76
597,1.71,1.65,0,1.66
598,1.7,1.6,1,1.71
599,1.75,1.64,1,1.74
600,1.77,1.68,0,1.68
601,1.69,1.6,0,1.66
602,1.74,1.63,0,1.66
603,1.75,1.59,1,1.76
604,1.77,1.67,0,1.69
605,1.77,1.6,1,1.74
606,1.69,1.61,1,1.74
607,1.71,1.7,1,1.77
608,1.78,1.6,0,1.65
609,1.79,1.66,1,1.75
610,1.68,1.66,1,1.75
611,1.75,1.59,0,1.64
612,1.72,1.55,0,1.63
613,1.76,1.61,0,1.65
614,1.8,1.63,1,1.78
615,1.76,1.65,1,1.78
616,1.77,1.58,0,1.65
617,1.74,1.61,1,1.75
618,1.76,1.57,1,1.75
619,1.74,1.57,1,1.74
620,1.64,1.72,1,1.73
621,1.76,1.67,0,1.66
622,1.75,1.62,1,1.74
623,1.74,1.59,0,1.65
624,1.83,1.6,1,1.77
625,1.75,1.66,0,1.65
626,1.76,1.63,1,1.76
627,1.78,1.67,0,1.68
628,1.77,1.71,0,1.69
629,1.74,1.61,0,1.65
630,1.71,1.57,0,1.62
631,1.68,1.57,0,1.62
632,1.68,1.57,0,1.62
633,1.65,1.57,1,1.72
634,1.71,1.7,1,1.76
635,1.7,1.66,1,1.75
636,1.61,1.6,1,1.72
637,1.8,1.69,0,1.68
638,1.71,1.6,1,1.75
639,1.75,1.66,1,1.76
640,1.79,1.6,1,1.75
641,1.7,1.67,0,1.66
642,1.71,1.61,0,1.65
643,1.67,1.65,0,1.66
644,1.77,1.63,1,1.77
645,1.73,1.66,0,1.66
646,1.67,1.63,0,1.61
647,1.87,1.6,0,1.68
648,1.77,1.71,0,1.68
649,1.78,1.6,1,1.74
650,1.7,1.6,0,1.63
651,1.68,1.63,0,1.64
652,1.68,1.64,1,1.74
653,1.88,1.64,0,1.69
654,1.72,1.7,0,1.67
655,1.79,1.63,1,1.76
656,1.71,1.63,1,1.75
657,1.7,1.7,1,1.76
658,1.7,1.6,0,1.62
659,1.73,1.63,1,1.77
660,1.79,1.55,0,1.64
661,1.73,1.63,0,1.64
662,1.68,1.6,0,1.61
663,1.74,1.63,1,1.75
664,1.75,1.63,1,1.76
665,1.76,1.6,1,1.76
666,1.75,1.53,0,1.61
667,1.71,1.67,1,1.74
668,1.74,1.62,0,1.64
669,1.79,1.71,1,1.76
670,1.7,1.6,0,1.64
671,1.71,1.57,0,1.63
672,1.64,1.6,0,1.61
673,1.67,1.65,1,1.74
674,1.75,1.56,1,1.73
675,1.83,1.63,0,1.67
676,1.76,1.65,0,1.67
677,1.72,1.63,1,1.75
678,1.7,1.58,1,1.72
679,1.71,1.59,1,1.73
680,1.68,1.6,0,1.64
681,1.75,1.6,1,1.75
682,1.73,1.52,1,1.71
683,1.75,1.62,1,1.74
684,1.74,1.61,1,1.74
685,1.7,1.62,1,1.73
686,1.78,1.68,0,1.67
687,1.7,1.57,1,1.75
688,1.75,1.66,1,1.76
689,1.74,1.62,1,1.76
690,1.69,1.64,0,1.66
691,1.71,1.6,1,1.75
692,1.77,1.73,1,1.78
693,1.74,1.64,0,1.65
694,1.7,1.61,1,1.74
695,1.66,1.62,1,1.73
696,1.76,1.7,1,1.78
697,1.68,1.6,1,1.73
698,1.77,1.67,0,1.68
699,1.74,1.63,0,1.66
700,1.72,1.68,1,1.74
701,1.76,1.64,0,1.67
702,1.72,1.61,0,1.66
703,1.64,1.68,0,1.63
704,1.73,1.6,0,1.61
705,1.67,1.65,0,1.64
706,1.69,1.62,1,1.73
707,1.78,1.7,1,1.79
708,1.69,1.59,1,1.74
709,1.74,1.58,0,1.64
710,1.73,1.6,0,1.64
711,1.72,1.64,0,1.67
712,1.84,1.54,1,1.77
713,1.66,1.56,1,1.72
714,1.8,1.65,0,1.69
715,1.75,1.61,1,1.75
716,1.8,1.58,1,1.77
717,1.77,1.66,1,1.76
718,1.68,1.67,0,1.65
719,1.81,1.61,1,1.77
720,1.74,1.67,1,1.76
721,1.7,1.59,0,1.64
722,1.72,1.61,1,1.75
723,1.71,1.62,1,1.75
724,1.77,1.6,0,1.65
725,1.81,1.7,0,1.69
726,1.75,1.57,1,1.73
727,1.72,1.61,1,1.75
728,1.67,1.61,1,1.72
729,1.72,1.66,1,1.76
730,1.72,1.65,1,1.75
731,1.8,1.66,1,1.77
732,1.81,1.63,0,1.66
733,1.78,1.63,0,1.66
734,1.62,1.59,0,1.63
735,1.63,1.58,0,1.61
736,1.68,1.63,1,1.75
737,1.74,1.58,0,1.62
738,1.73,1.63,0,1.64
739,1.68,1.58,0,1.63
740,1.69,1.63,1,1.74
741,1.67,1.63,0,1.64
742,1.73,1.58,0,1.63
743,1.84,1.65,1,1.79
744,1.7,1.7,1,1.76
745,1.75,1.54,0,1.64
746,1.8,1.57,1,1.76
747,1.69,1.67,0,1.66
748,1.71,1.64,1,1.74
749,1.66,1.64,1,1.71
750,1.75,1.64,1,1.76
751,1.74,1.6,0,1.62
752,1.71,1.67,1,1.75
753,1.72,1.69,0,1.68
754,1.74,1.73,0,1.68
755,1.79,1.58,0,1.63
756,1.74,1.66,0,1.66
757,1.7,1.6,0,1.64
758,1.61,1.67,0,1.64
759,1.75,1.58,1,1.75
760,1.67,1.63,0,1.64
761,1.72,1.67,0,1.65
762,1.7,1.57,0,1.62
763,1.7,1.54,0,1.61
764,1.78,1.65,1,1.73
765,1.69,1.66,1,1.75
766,1.75,1.62,0,1.66
767,1.67,1.62,0,1.64
768,1.73,1.67,0,1.67
769,1.72,1.6,1,1.74
770,1.78,1.55,0,1.64
771,1.7,1.63,0,1.63
772,1.77,1.7,0,1.69
773,1.68,1.58,1,1.73
774,1.69,1.6,0,1.63
775,1.78,1.67,1,1.77
776,1.65,1.61,1,1.72
777,1.85,1.63,0,1.68
778,1.74,1.6,1,1.74
779,1.75,1.65,0,1.65
780,1.82,1.69,1,1.78
781,1.7,1.62,1,1.74
782,1.72,1.61,0,1.63
783,1.77,1.57,0,1.62
784,1.73,1.61,0,1.64
785,1.8,1.66,0,1.66
786,1.8,1.67,0,1.68
787,1.71,1.6,1,1.76
788,1.8,1.61,1,1.75
789,1.79,1.62,0,1.67
790,1.64,1.63,0,1.65
791,1.77,1.58,0,1.65
792,1.82,1.63,1,1.78
793,1.7,1.65,1,1.74
794,1.75,1.54,1,1.74
795,1.77,1.69,1,1.77
796,1.76,1.59,1,1.76
797,1.72,1.59,0,1.64
798,1.75,1.62,0,1.62
799,1.66,1.59,1,1.72
800,1.8,1.65,1,1.76
801,1.75,1.59,0,1.66
802,1.76,1.66,1,1.78
803,1.8,1.64,1,1.76
804,1.7,1.56,0,1.62
805,1.71,1.66,1,1.75
806,1.65,1.64,1,1.72
807,1.72,1.64,0,1.66
808,1.7,1.57,0,1.62
809,1.7,1.66,0,1.64
810,1.75,1.62,0,1.66
811,1.76,1.59,1,1.75
812,1.7,1.69,0,1.68
813,1.66,1.69,1,1.71
814,1.73,1.64,1,1.74
815,1.82,1.66,0,1.68
816,1.74,1.66,0,1.67
817,1.75,1.7,1,1.76
818,1.79,1.71,0,1.69
819,1.78,1.61,1,1.77
820,1.76,1.61,1,1.76
821,1.72,1.64,1,1.76
822,1.74,1.56,0,1.63
823,1.7,1.65,0,1.66
824,1.72,1.6,0,1.64
825,1.75,1.7,0,1.68
826,1.7,1.64,1,1.73
827,1.83,1.57,1,1.77
828,1.73,1.63,0,1.65
829,1.68,1.61,0,1.63
830,1.72,1.65,0,1.64
831,1.68,1.58,1,1.73
832,1.75,1.62,0,1.63
833,1.7,1.61,0,1.65
834,1.72,1.6,0,1.63
835,1.8,1.66,0,1.66
836,1.68,1.66,1,1.71
837,1.7,1.62,1,1.74
838,1.68,1.56,0,1.62
839,1.75,1.64,0,1.66
840,1.76,1.69,0,1.68
841,1.77,1.64,1,1.78
842,1.67,1.55,0,1.61
843,1.71,1.61,1,1.74
844,1.77,1.61,1,1.75
845,1.67,1.62,0,1.64
846,1.7,1.63,1,1.74
847,1.78,1.56,0,1.62
848,1.79,1.62,1,1.77
849,1.73,1.55,1,1.73
850,1.68,1.64,1,1.73
851,1.76,1.68,0,1.64
852,1.7,1.68,0,1.66
853,1.69,1.63,1,1.74
854,1.73,1.54,0,1.61
855,1.75,1.59,1,1.75
856,1.73,1.67,0,1.66
857,1.78,1.64,0,1.67
858,1.73,1.65,1,1.76
859,1.75,1.61,0,1.66
860,1.73,1.66,0,1.67
861,1.75,1.54,0,1.63
862,1.71,1.69,1,1.76
863,1.75,1.54,0,1.62
864,1.71,1.62,0,1.64
865,1.77,1.67,1,1.76
866,1.64,1.61,1,1.71
867,1.82,1.68,0,1.69
868,1.72,1.71,1,1.76
869,1.79,1.62,1,1.78
870,1.75,1.61,1,1.75
871,1.74,1.6,1,1.75
